UID;ID_Base;Categoría;Modelo Principal;Modelo;Submodelo;ctx_precio;precio_num;precio_lista_num;bono_num;Precio_Texto;fuente_texto_raw;Modelo_URL;Archivo_Origen;Fecha;Timestamp;texto_base_tipo;Tipo_Vehiculo;estado
F678A06B1517;7B66906A;BYD;DOLPHIN;DOLPHIN;BYDDOLPHINDOLPHIN;;27.990.000;28.990.000;1.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-02-2025;;;Eléctrico;
1A7857CE7929;7B66906A;BYD;DOLPHIN;DOLPHIN;BYDDOLPHINDOLPHIN;;23.990.000;28.990.000;5.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-03-2025;;;Eléctrico;
60D5635FBBDB;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;18.990.000;20.990.000;2.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-03-2025;;;Eléctrico;
7B02B1B353CB;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;18.990.000;20.990.000;2.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-04-2025;;;Eléctrico;
C265BEF06F4D;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;17.990.000;18.990.000;1.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-05-2025;;;Eléctrico;
4EA868847105;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;17.990.000;18.990.000;1.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-06-2025;;;Eléctrico;
92BDC901D236;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;17.990.000;18.990.000;1.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-07-2025;;;Eléctrico;
B400C2F61D69;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;18.990.000;18.990.000;0;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-08-2025;;;Eléctrico;
6A8E963EAA3C;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;18.990.000;18.990.000;0;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-09-2025;;;Eléctrico;
0B28044F8933;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;17.990.000;18.990.000;1.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-10-2025;;;Eléctrico;
367D4D325FC3;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;16.990.000;18.990.000;2.000.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-11-2025;;;Eléctrico;
E0BB38218DDE;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;17.490.000;18.990.000;1.500.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-12-2025;;;Eléctrico;
3A2DC9CB81EF;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;15.490.000;18.990.000;3.500.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-01-2026;;;Eléctrico;
7D44DD4B1EC7;87B7E0B3;BYD;MINI DOLPHIN;MINI DOLPHIN;GL;;15.990.000;19.490.000;3.500.000;;;;Evolutivo_de_Precios_Chile2026.xlsx;01-02-2026;;;Eléctrico;
