UID,ID_Base,Categoría,Modelo Principal,Modelo,Submodelo,ctx_precio,precio_num,precio_lista_num,bono_num,Precio_Texto,fuente_texto_raw,Modelo_URL,Archivo_Origen,Fecha,Timestamp,estado,Tipo_Vehiculo
4652496f8254,suzuki|jimny|jimny-gl,Suzuki,Jimny,Jimny GL,Jimny GL,financiamiento:marca,16420000.0,17920000.0,1500000.0,$16.420.000,"Jimny GL
$16.420.000

Precio con bono: $1,500,000
Tipo: SUV
COTIZAR",https://www.ejemplo.com/autos/suzuki/jimny,suzuki_data.csv,2025-08-08,2025-08-08 00:00:00,nuevo,SUV
fcc168921316,bmw|z4|z4-m40i,BMW,Z4,Z4 M40i,Z4 M40i,financiamiento:marca,58990000.0,60490000.0,1500000.0,$58.990.000,"Z4 M40i
$58.990.000

Precio con bono: $1,500,000
Tipo: Convertible
COTIZAR",https://www.ejemplo.com/autos/bmw/z4,bmw_data.csv,2024-06-26,2024-06-26 00:00:00,vigente,Convertible
2f2373d25ea3,chevrolet|tracker|tracker-ltz-at,Chevrolet,Tracker,Tracker LTZ AT,Tracker LTZ AT,financiamiento:marca,18940000.0,18940000.0,0.0,$18.940.000,"Tracker LTZ AT
$18.940.000

Precio con bono: $0
Tipo: SUV
COTIZAR",https://www.ejemplo.com/autos/chevrolet/tracker,chevrolet_data.csv,2025-12-01,2025-12-01 00:00:00,por_llegar,SUV
106098c7cced,ford|f-150|f-150-lariat,Ford,F-150,F-150 Lariat,F-150 Lariat,financiamiento:marca,43320000.0,44820000.0,1500000.0,$43.320.000,"F-150 Lariat
$43.320.000

Precio con bono: $1,500,000
Tipo: Pick up
COTIZAR",https://www.ejemplo.com/autos/ford/f-150,ford_data.csv,2023-01-11,2023-01-11 00:00:00,vigente,Pick up
0f38d66b1c63,mazda|mx-5|mx-5-miata-rf,Mazda,MX-5,MX-5 Miata RF,MX-5 Miata RF,financiamiento:marca,28250000.0,31250000.0,3000000.0,$28.250.000,"MX-5 Miata RF
$28.250.000

Precio con bono: $3,000,000
Tipo: Convertible
COTIZAR",https://www.ejemplo.com/autos/mazda/mx-5,mazda_data.csv,2024-03-01,2024-03-01 00:00:00,nuevo,Convertible
3d924b95d0eb,chevrolet|onix|onix-turbo-ltz,Chevrolet,Onix,Onix Turbo LTZ,Onix Turbo LTZ,financiamiento:marca,14100000.0,15100000.0,1000000.0,$14.100.000,"Onix Turbo LTZ
$14.100.000

Precio con bono: $1,000,000
Tipo: Hatchback
COTIZAR",https://www.ejemplo.com/autos/chevrolet/onix,chevrolet_data.csv,2025-11-29,2025-11-29 00:00:00,vigente,Hatchback
d34d949b100f,chevrolet|tracker|tracker-ls-mt,Chevrolet,Tracker,Tracker LS MT,Tracker LS MT,financiamiento:marca,16590000.0,17090000.0,500000.0,$16.590.000,"Tracker LS MT
$16.590.000

Precio con bono: $500,000
Tipo: SUV
COTIZAR",https://www.ejemplo.com/autos/chevrolet/tracker,chevrolet_data.csv,2024-06-08,2024-06-08 00:00:00,vigente,SUV
aa019baeac57,toyota|hilux|hilux-srv-4x4,Toyota,Hilux,Hilux SRV 4x4,Hilux SRV 4x4,financiamiento:marca,27360000.0,29360000.0,2000000.0,$27.360.000,"Hilux SRV 4x4
$27.360.000

Precio con bono: $2,000,000
Tipo: Pick up
COTIZAR",https://www.ejemplo.com/autos/toyota/hilux,toyota_data.csv,2024-04-06,2024-04-06 00:00:00,vigente,Pick up
4328724e732b,ford|mustang|mustang-gt-5.0,Ford,Mustang,Mustang GT 5.0,Mustang GT 5.0,financiamiento:marca,39860000.0,41360000.0,1500000.0,$39.860.000,"Mustang GT 5.0
$39.860.000

Precio con bono: $1,500,000
Tipo: Coupé
COTIZAR",https://www.ejemplo.com/autos/ford/mustang,ford_data.csv,2023-05-17,2023-05-17 00:00:00,vigente,Coupé
cf80573e6e2f,toyota|corolla|corolla-seg-hybrid,Toyota,Corolla,Corolla SEG Hybrid,Corolla SEG Hybrid,financiamiento:marca,15240000.0,17240000.0,2000000.0,$15.240.000,"Corolla SEG Hybrid
$15.240.000

Precio con bono: $2,000,000
Tipo: Sedan
COTIZAR",https://www.ejemplo.com/autos/toyota/corolla,toyota_data.csv,2023-08-20,2023-08-20 00:00:00,por_llegar,Sedan
