"UID","ID_Base","Categoría","Modelo Principal","Modelo","Submodelo","ctx_precio","precio_num","precio_lista_num","bono_num","Precio_Texto","fuente_texto_raw","Modelo_URL","Archivo_Origen","Fecha","Timestamp","estado","Tipo_Vehiculo"
"4652496f8254","suzuki|jimny|jimny","Suzuki","Jimny","Jimny","Jimny GL","financiamiento:marca","164200000","179200000","15000000","$164.200.000","Jimny GL
$16.420.000

Precio con bono: $1,500,000
Tipo: SUV
COTIZAR","https://www.ejemplo.com/autos/suzuki/jimny","dataset_autos_completo_revised.csv","2025-08-08","2026-02-05T23:53:42.595Z","vigente","SUV"
"fcc168921316","bmw|z4|z4","BMW","Z4","Z4","Z4 M40i","financiamiento:marca","589900000","604900000","15000000","$589.900.000","Z4 M40i
$58.990.000

Precio con bono: $1,500,000
Tipo: Convertible
COTIZAR","https://www.ejemplo.com/autos/bmw/z4","dataset_autos_completo_revised.csv","2024-06-26","2026-02-05T23:53:42.595Z","vigente","Convertible"
"2f2373d25ea3","chevrolet|tracker|tracker","Chevrolet","Tracker","Tracker","Tracker LTZ AT","financiamiento:marca","189400000","189400000","00","$189.400.000","Tracker LTZ AT
$18.940.000

Precio con bono: $0
Tipo: SUV
COTIZAR","https://www.ejemplo.com/autos/chevrolet/tracker","dataset_autos_completo_revised.csv","2025-12-01","2026-02-05T23:53:42.595Z","vigente","SUV"
"106098c7cced","ford|f-150|f-150","Ford","F-150","F-150","F-150 Lariat","financiamiento:marca","433200000","448200000","15000000","$433.200.000","F-150 Lariat
$43.320.000

Precio con bono: $1,500,000
Tipo: Pick up
COTIZAR","https://www.ejemplo.com/autos/ford/f-150","dataset_autos_completo_revised.csv","2023-01-11","2026-02-05T23:53:42.595Z","vigente","Pick up"
"0f38d66b1c63","mazda|mx-5|mx-5","Mazda","Mx-5","MX-5","MX-5 Miata RF","financiamiento:marca","282500000","312500000","30000000","$282.500.000","MX-5 Miata RF
$28.250.000

Precio con bono: $3,000,000
Tipo: Convertible
COTIZAR","https://www.ejemplo.com/autos/mazda/mx-5","dataset_autos_completo_revised.csv","2024-03-01","2026-02-05T23:53:42.595Z","vigente","Convertible"
"3d924b95d0eb","chevrolet|onix|onix","Chevrolet","Onix","Onix","Onix Turbo LTZ","financiamiento:marca","141000000","151000000","10000000","$141.000.000","Onix Turbo LTZ
$14.100.000

Precio con bono: $1,000,000
Tipo: Hatchback
COTIZAR","https://www.ejemplo.com/autos/chevrolet/onix","dataset_autos_completo_revised.csv","2025-11-29","2026-02-05T23:53:42.595Z","vigente","Hatchback"
"d34d949b100f","chevrolet|tracker|tracker","Chevrolet","Tracker","Tracker","Tracker LS MT","financiamiento:marca","165900000","170900000","5000000","$165.900.000","Tracker LS MT
$16.590.000

Precio con bono: $500,000
Tipo: SUV
COTIZAR","https://www.ejemplo.com/autos/chevrolet/tracker","dataset_autos_completo_revised.csv","2024-06-08","2026-02-05T23:53:42.595Z","vigente","SUV"
"aa019baeac57","toyota|hilux|hilux","Toyota","Hilux","Hilux","Hilux SRV 4x4","financiamiento:marca","273600000","293600000","20000000","$273.600.000","Hilux SRV 4x4
$27.360.000

Precio con bono: $2,000,000
Tipo: Pick up
COTIZAR","https://www.ejemplo.com/autos/toyota/hilux","dataset_autos_completo_revised.csv","2024-04-06","2026-02-05T23:53:42.595Z","vigente","Pick up"
"4328724e732b","ford|mustang|mustang","Ford","Mustang","Mustang","Mustang GT 5.0","financiamiento:marca","398600000","413600000","15000000","$398.600.000","Mustang GT 5.0
$39.860.000

Precio con bono: $1,500,000
Tipo: Coupé
COTIZAR","https://www.ejemplo.com/autos/ford/mustang","dataset_autos_completo_revised.csv","2023-05-17","2026-02-05T23:53:42.596Z","vigente","Coupé"
"cf80573e6e2f","toyota|corolla|corolla","Toyota","Corolla","Corolla","Corolla SEG Hybrid","financiamiento:marca","152400000","172400000","20000000","$152.400.000","Corolla SEG Hybrid
$15.240.000

Precio con bono: $2,000,000
Tipo: Sedan
COTIZAR","https://www.ejemplo.com/autos/toyota/corolla","dataset_autos_completo_revised.csv","2023-08-20","2026-02-05T23:53:42.596Z","vigente","Sedan"
"2919207cbc9b","kia|morning|morning","Kia","Morning","Morning","Morning EX","financiamiento:marca","83400000","88400000","5000000","$83.400.000","Morning EX
$8.340.000

Precio con bono: $500,000
Tipo: City Car
COTIZAR","https://www.ejemplo.com/autos/kia/morning","dataset_autos_completo_revised.csv","2023-07-05","2026-02-05T23:53:42.596Z","vigente","City Car"
"28d3906a025f","kia|sportage|sportage","Kia","Sportage","Sportage","Sportage EX","financiamiento:marca","270500000","270500000","00","$270.500.000","Sportage EX
$27.050.000

Precio con bono: $0
Tipo: SUV
COTIZAR","https://www.ejemplo.com/autos/kia/sportage","dataset_autos_completo_revised.csv","2025-11-01","2026-02-05T23:53:42.596Z","vigente","SUV"
"0459f2a8e750","mazda|mx-5|mx-5","Mazda","Mx-5","MX-5","MX-5 Miata RF","financiamiento:marca","345300000","345300000","00","$345.300.000","MX-5 Miata RF
$34.530.000

Precio con bono: $0
Tipo: Convertible
COTIZAR","https://www.ejemplo.com/autos/mazda/mx-5","dataset_autos_completo_revised.csv","2025-07-30","2026-02-05T23:53:42.596Z","vigente","Convertible"
"61f047343d1b","bmw|z4|z4","BMW","Z4","Z4","Z4 sDrive20i","financiamiento:marca","590700000","630700000","40000000","$590.700.000","Z4 sDrive20i
$59.070.000

Precio con bono: $4,000,000
Tipo: Convertible
COTIZAR","https://www.ejemplo.com/autos/bmw/z4","dataset_autos_completo_revised.csv","2024-08-25","2026-02-05T23:53:42.596Z","vigente","Convertible"
"084ad5aa17fb","toyota|corolla|corolla","Toyota","Corolla","Corolla","Corolla GLI","financiamiento:marca","199800000","199800000","00","$199.800.000","Corolla GLI
$19.980.000

Precio con bono: $0
Tipo: Sedan
COTIZAR","https://www.ejemplo.com/autos/toyota/corolla","dataset_autos_completo_revised.csv","2025-06-06","2026-02-05T23:53:42.596Z","vigente","Sedan"
"9722e93a1415","toyota|supra|supra","Toyota","Supra","Supra","GR Supra 2.0L","financiamiento:marca","598500000","598500000","00","$598.500.000","GR Supra 2.0L
$59.850.000

Precio con bono: $0
Tipo: Coupé
COTIZAR","https://www.ejemplo.com/autos/toyota/supra","dataset_autos_completo_revised.csv","2024-01-27","2026-02-05T23:53:42.596Z","vigente","Coupé"
